,batch_size,augmentation,optimizer,train_loss,valid_loss,train_acc,valid_acc
109,128,random_resized_crop,SGD with Nesterov,1.247956416643489,0.7509424561941171,78.176,74.21
110,128,random_resized_crop,ASGD,2.067674483484624,1.1919970399216762,63.124,57.42
111,128,random_resized_crop,Adam,1.7351499341637886,1.0170012878466257,69.724,66.05
112,128,random_resized_crop,Adamax,1.3982545585583543,0.9956707328180724,75.76,67.84
113,128,random_resized_crop,Adadelta,2.3403622040053462,1.1477085253860377,58.37,59.34
114,128,random_affine,SGD,1.6728218525571896,0.6926724748520912,70.404,75.47
115,128,random_affine,SGD with Nesterov,1.574057669285923,0.715927890207194,72.208,75.37
116,128,random_affine,ASGD,2.3407961310023238,1.1224727253370648,58.098000000000006,59.51
117,128,random_affine,Adam,2.0424697185721237,1.461634246608879,64.36800000000001,57.96
118,128,random_affine,Adamax,1.6821759555041027,0.9830538479587699,70.588,68.54
119,128,random_affine,Adadelta,2.5471899399672018,1.2415553731254385,54.208,55.910000000000004
120,128,random_erasing,SGD,1.3149195993342973,0.7407487046115006,76.77000000000001,74.57000000000001
121,128,random_erasing,SGD with Nesterov,1.2183596863771033,1.26665092797219,78.46600000000001,63.239999999999995
122,128,random_erasing,ASGD,2.0491263152998123,1.058681027798713,63.284,62.9
123,128,random_erasing,Adam,1.753814009144483,1.0434963982316512,69.298,64.62
124,128,random_erasing,Adamax,1.4493297405559997,0.8018690151504323,74.776,72.8
125,128,random_erasing,Adadelta,2.315948444254258,1.1612745214112197,58.940000000000005,57.78
